Y,X
47.32031921,9.0527
39.86249072,7.3135
42.22577863,8.6471
30.010689,5.8579
43.90045851,7.9357
25.91133393,5.7561
23.73931026,4.4832
40.81038999,7.7276
48.7255945,9.2848
26.02381364,4.6772
39.87775649,8.1893
17.81364101,3.5508
6.654543807,0.633
11.77853868,1.896
9.606713,2.4926
34.85749554,6.2653
49.263557,8.614
11.14534296,3.0467
21.71975514,3.9312
28.34316265,5.2257
41.23976983,7.5908
22.80165739,4.4675
50.13554415,9.1999
-3.222693997,0.5947
52.83932508,9.8198
13.71470538,1.7246
-3.375994431,2.0839
6.348974044,2.0847
35.7832417,6.9856
32.2895714,5.4138
39.31753312,7.7438
14.58974869,5.0032
25.8007042,4.7147
24.46392695,6.5499
25.65974169,5.8605
40.31155394,7.4602
13.22610658,2.8275
18.38002117,3.1216
16.02591177,3.0096
43.30271802,6.9226
13.20430402,2.9335
20.42971048,4.6049
11.39238437,2.2817
-1.453000146,0.2005
41.06014689,9.8577
36.1007893,6.5407
40.72192209,8.5814
14.16624797,4.3229
6.981099896,1.5074
17.59337349,2.0762
19.1250743,4.6487
7.021762941,2.1264
1.018407046,0.4953
27.45675235,5.7739
8.025134404,1.8886
19.99296172,3.3064
8.829223821,1.3012
41.84633836,7.8198
17.62577996,0.5594
47.75053469,7.9447
28.09557188,7.2404
37.86600237,8.1329
22.51105185,4.8511
43.199387,9.3175
1.883644318,0.1694
29.72761837,5.6572
14.61095141,1.5039
35.3920653,6.4976
3.969962195,1.4475
19.40858075,3.3992
9.454865854,1.9688
29.19311213,5.6233
9.700666565,1.7478
10.77133176,2.3539
43.01892815,7.1303
27.86376372,5.2814
-3.433582019,0.7857
39.80190687,7.6911
40.54707223,8.9701
38.72676512,5.9724
22.18139937,3.1238
12.53534171,3.4819
43.36860385,8.1911
31.43003725,6.7135
15.16124692,3.6665
12.77400623,2.8886
33.44851237,6.7519
25.97702609,4.9409
33.03719014,5.7724
7.433619881,0.998
34.71604108,8.111
-4.448560266,0.5039
45.84891283,9.9392
11.27891628,1.3587
15.89305063,2.3142
34.29970214,6.0058
1.027913223,0.9469
33.96530517,8.4148
39.07796162,6.6619
48.25462553,9.5161
1.03214,9.97071
