y,x,
38.85814433,7.266278166,
40.89114758,7.985332994,
48.9716479,9.387119987,
46.41012388,9.3828494,
25.33339116,5.240903002,
48.02610464,9.499206135,
21.46150949,4.971080751,
38.86171296,7.913173516,
50.88791696,9.726960323,
17.52341503,3.373125514,
48.9469385,9.910843314,
6.288715501,1.504298922,
21.54816921,4.816734314,
28.07276078,5.587027493,
26.22464514,4.797944679,
22.47597819,3.977425634,
23.64106408,5.007340954,
12.15758388,2.117614789,
14.10531685,2.470438304,
20.96427198,4.244225684,
21.25013616,4.454089076,
12.51481262,2.334038611,
45.35048455,8.560443379,
11.12995557,2.407806253,
10.07603582,2.028832251,
27.12170354,5.655224539,
13.1107491,2.725763598,
6.377975754,1.163897302,
44.46773693,9.322756382,
47.42933655,9.83910873,
9.484998142,1.805146512,
21.34827436,3.938494168,
15.37816598,3.395303599,
14.74843466,2.350055559,
33.24322489,6.381669562,
33.21931673,6.119462699,
8.988565286,1.956381345,
34.83662213,6.484033664,
38.70577621,7.941538075,
20.96334439,3.921511124,
45.4063606,8.746102339,
26.53507455,5.378908017,
20.11836186,4.445989636,
41.32193912,7.690318464,
16.0656144,3.729086365,
39.0824559,7.682448147,
31.88127478,6.622778983,
10.26448092,1.809630921,
43.33914651,8.591952789,
14.41498997,2.983996539,
34.3712468,6.343252049,
41.93545405,8.052571885,
38.82680177,7.479454817,
33.95800325,6.943881261,
23.89952215,4.888184921,
40.87570321,8.810552893,
23.51453769,4.811996233,
33.67601926,7.12521035,
40.29891386,7.683121483,
48.41688336,9.34709252,
9.248207582,1.860046433,
21.15827277,4.088482104,
38.1206647,7.40933047,
42.30784376,9.164806797,
45.81492566,9.172441771,
42.69665491,9.087720708,
26.38179118,5.585912422,
39.95230008,8.028894605,
37.28253002,7.195656632,
23.66529987,4.460142656,
48.51123554,9.647895236,
43.24849005,7.874205597,
15.31280989,2.385659913,
21.31900726,5.28380472,
7.342336639,2.461727143,
49.05485334,9.405017273,
18.60879923,3.510178761,
35.18214375,6.827338513,
29.40401254,5.556601681,
26.37645927,5.398196359,
37.28449038,6.969711242,
22.94226038,4.799154895,
47.55907734,9.400169343,
44.07077569,8.998239168,
47.27799107,9.563370101,
38.95605768,8.380833999,
24.01131537,4.595199629,
19.56505406,4.199076354,
14.4411945,2.211515624,
17.83250316,3.241651709,
28.1866479,6.167735835,
7.531381427,1.290790432,
38.76223015,7.592182853,
43.49337698,8.293848937,
15.86164974,2.895594491,
21.3474369,4.30491779,
15.81161813,4.106200684,
39.73980958,7.612336442,
7.963447955,1.227335392,
46.09546098,9.545883307,
