y,x,
28.04562068,4.299209672,
39.14828376,4.528143406,
17.36104405,3.284988203,
18.41356111,5.70973194,
7.857463597,3.24270833,
63.93289821,9.455808199,
34.50515257,8.094614114,
43.06394571,7.63386513,
11.76494093,1.847848225,
29.26685795,2.638487789,
33.1542418,3.452219969,
23.05887749,1.650032049,
33.16545814,7.111051718,
20.16205978,5.576406084,
2.11886387,2.287097497,
30.81955396,6.878512391,
21.85542917,2.537444171,
19.76723682,4.636476586,
7.972429254,1.518386134,
44.25994075,6.742241992,
12.86967476,2.673167309,
-0.019150181,1.381650284,
16.58970836,3.461872186,
30.47025323,7.884227173,
29.21837777,4.31425424,
33.00165309,7.156127992,
17.80412495,4.545321275,
30.95514872,4.869342578,
0.223636075,2.179376799,
35.59504033,3.829533849,
12.3626564,3.886869749,
52.86141754,5.755064128,
14.41871642,7.787725837,
53.69315388,9.784536382,
53.28120647,9.774708676,
16.57261492,4.232421326,
41.83694181,8.461234,
13.03620255,3.202483187,
44.19899809,9.46178362,
37.12668599,6.83051397,
42.37566682,8.158844688,
36.35411294,8.469184398,
7.595569721,2.816609198,
33.39940684,8.600305924,
28.52527975,9.60165642,
9.747787148,3.600612401,
34.37467876,3.088989486,
31.35302446,4.453557804,
45.09548882,7.113451462,
47.83814691,7.907088538,
4.419100685,4.371467734,
20.69768414,4.161594474,
28.82834969,4.921631893,
12.17629442,1.675126955,
29.63749721,3.435965761,
-1.303615696,1.934310303,
52.91320576,8.743862618,
24.27058779,5.906182674,
36.14194035,8.877964316,
45.88484369,8.383143891,
30.34667227,6.049561638,
44.86993612,9.555211191,
38.15863725,7.856609577,
36.61915008,5.85923835,
19.76052912,5.374074922,
6.382716625,2.255740896,
42.75678798,9.03953711,
54.4542711,6.466549662,
17.24236081,3.323842458,
26.88739914,3.448234471,
18.21764241,4.02545794,
23.98886685,4.626750895,
29.32588621,4.861703445,
31.68077162,5.881702213,
6.726604807,2.258153949,
44.23635938,4.751162894,
25.68378215,8.295403299,
25.77425552,3.248122681,
35.22261281,5.559526596,
15.22436864,2.86391679,
34.02474395,4.432109866,
43.9212756,5.644991857,
24.60968283,4.702101726,
24.74791252,7.009266328,
34.09695526,6.985734885,
37.68926838,7.853489354,
42.25898021,8.601512412,
-9.839336945,3.390184586,
39.47688376,9.202937323,
22.95886489,6.246944373,
39.39509782,9.309564573,
8.360128401,2.509296309,
45.03045272,5.579897887,
-9.668504229,1.12302579,
-11.68984006,2.245882045,
25.80871362,5.103630401,
9.549489983,1.769236644,
36.90456438,7.474016312,
4.750806812,5.459608412,
15.4090136,6.455432576,
