Y,x
6428.91577,9.517
2640.000728,5.113
12858.59927,9.773
5491.450053,8.428
2838.820108,5.752
489.060627,3.922
2749.75487,5.464
2803.660763,5.628
1623.133586,6.195
9108.482391,9.958
97.07032092,1.227
6026.816855,6.5
3928.829615,4.828
3533.400362,5.999
5614.592818,8.141
13259.10997,8.96
2927.083774,6.513
10102.3325,9.865
2207.028118,4.102
3465.331294,7.223
2459.704241,5.232
7370.955076,7.944
4942.555175,9.208
9267.331102,9.199
522.066365,2.275
1266.427658,3.855
3197.74479,5.533
1157.282305,5.131
4918.72021,7.023
5726.131331,6.616
542.5419951,2.262
1072.31947,3.519
4311.192797,6.455
3365.018638,6.233
5691.974052,9.534
8170.315797,9.487
317.8114376,2.487
6172.367616,8.193
8909.714814,8.918
2350.886095,6.376
4910.880196,8.306
3029.593881,4.506
5286.956557,6.527
8231.203809,9.098
811.3119411,2.766
8012.669586,7.669
5246.386331,6.654
8877.668766,9.54
8548.873128,8.238
2067.543791,4.077
5165.438919,7.901
1630.213259,5.036
5991.04509,6.545
6961.075967,9.12
830.9575286,3.485
520.9183883,2.251
4438.258023,5.69
119.5064715,1.19
1219.112274,4.376
7727.49202,9.897
4302.44492,7.558
1546.535602,4.617
85.81601175,1.095
5784.312999,9.157
10483.96197,9.371
5317.477976,8.101
869.3166669,3.029
568.5295473,5.598
1221.948872,4.052
3861.287691,6.498
928.2810958,4.786
945.0981648,4.094
2223.696002,5.573
373.8039295,1.837
2578.87769,6.717
4813.93783,6.509
2826.963092,5.616
282.1677059,2.039
1351.429077,4.556
153.3734109,1.552
3371.438928,6.751
2884.571538,6.584
5009.33321,8.776
1282.053243,3.845
3424.495203,5.581
958.6208431,3.301
6896.195142,8.137
3748.961829,6.056
8204.998934,8.472
2235.769822,6.377
8264.613198,8.953
3379.987996,6.071
3183.391304,7.61
1502.901522,6.975
494.7772651,2.825
5242.60415,8.091
159.6662782,1.325
2087.069663,4.446
206.8661511,1.335
2773.134726,4.587
